Posting Date,Day,Month,Year,Amount,Description,Transaction Category,Five Guys,In N Out,Chick-Fil-A,Little Caesars,Cafe Rio,Taco Bell,Chipotle,Wendys,Arbys,Burger King,McDonalds,Arctic Circle,Sonic,Rancheritos,Mesq Mex Grill,Flying Pie Pizzeria,Jimmy Johns,Pizza Hut,Rocky Mountain Power,QuestarGas,GrangerHunter,WVCC,Walgreens,Winco,Walmart,Lucky,Sams Club,Maceys,Davis,Harmons,Reams,Smiths,Categories
9/3/21,3,9,2021,($124.07),PoS Withdrawal SAMS CLUB #6682 SAM'S Club             LAYTON       UTUS,Groceries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
9/2/21,2,9,2021,($16.51),PoS Withdrawal 650000007710414 MESQUITE MEXICAN GRILL SALT LAKE CITUTUS,Fast Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9/2/21,2,9,2021,($267.00),PoS Withdrawal 24266100005336 SQ *ABS TOWING & STORAGSpanish Fork UTUS,Car Maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/21,2,9,2021,($38.67),PoS Withdrawal ARBYS #155 WEST 4663 S 2700 W          TAYLORSVILLE UTUS,Fast Food,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9/1/21,1,9,2021,($9.72),PoS Withdrawal 737642011883 WENDYS  6062           LAYTON       UTUS,Fast Food,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9/1/21,1,9,2021,($25.00),ACH Withdrawal VENMO  - PAYMENT,Baby Sitter & Daycare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/21,1,9,2021,"$4,508.42 ",ACH Deposit UOFU INCOME ACTG INACCT TUIT REFUND - CREDIT REF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/21,1,9,2021,($240.76),PoS Withdrawal 395708457148 MK Cosmetic            800-2729333  TXUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/21,1,9,2021,($23.73),PoS Withdrawal 4445000679803 LITTLE CAESARS 011     801-965-1400 UTUS,Fast Food,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/31/21,31,8,2021,($4.29),PoS Withdrawal DOLLAR TREE 413 W 1425 N           LAYTON       UTUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/21,31,8,2021,($75.06),PoS Withdrawal TARGET T-1755 815 W 2000 N           Layton       UTUS,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/21,31,8,2021,($31.58),ACH Withdrawal QuestarGas  - QuestarGas,Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
8/31/21,31,8,2021,($212.73),ACH Withdrawal ROCKYMTN/PACIFIC  - POWER BILL,Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8/31/21,31,8,2021,$210.00 ,ACH Deposit VENMO  - CASHOUT,Piano Lessons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/21,31,8,2021,($22.00),PoS Withdrawal 650000008384268 1915 GREAT CLIPS AT WILWEST VALLEY CUTUS,Hair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/21,31,8,2021,($71.00),PoS Withdrawal 1VKWOGBF44BU45L DOORDASH*CHICK-FIL-A   WWW.DOORDASH.CAUS,Fast Food,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/31/21,31,8,2021,($153.36),PoS Withdrawal  AMAZON.COM             SEATTLE      WAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/21,31,8,2021,$300.00 ,Deposit Transfer From 854597,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/21,30,8,2021,($43.87),PoS Withdrawal 100401 CHEVRON/JACKSONS FOOD SWEST VALLEY  UTUS,Gas & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/21,30,8,2021,($12.64),PoS Withdrawal 4445000679803 LITTLE CAESARS 011     801-965-1400 UTUS,Fast Food,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/30/21,30,8,2021,($25.19),PoS Withdrawal 4445026666677 FIVE GUYS UT 1749 ECOMM385-237-4111 UTUS,Fast Food,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/30/21,30,8,2021,($93.16),PoS Withdrawal 8788242905155 GRANGER HUNTER IMPROVE 801-9683551  UTUS,Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
8/30/21,30,8,2021,($30.50),PoS Withdrawal 536707001177431 WEST VALLEY CITY CORP  801-966-3600 UTUS,Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
8/30/21,30,8,2021,($61.32),PoS Withdrawal 7-ELEVEN 4110 South Redwood     Taylorsville UTUS,Gas & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/21,30,8,2021,($4.28),PoS Withdrawal 160146000762203 Prime Video*257EJ2EH0  888-802-3080 WAUS,Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/21,28,8,2021,($86.71),PoS Withdrawal 1VKWOGBF44BU45L DOORDASH*FIVE GUYS     WWW.DOORDASH.CAUS,Fast Food,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/27/21,27,8,2021,($141.93),ACH Withdrawal WEB - UNITED MIDWEST S  - PAYMENT  002*8080028441*141.93*BRADEN A POTTER*210827,Organ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/27/21,27,8,2021,($103.51),PoS Withdrawal WM SUPERCENTER # Wal-Mart Super Center  MIDVALE      UTUS,Groceries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
8/27/21,27,8,2021,($37.00),PoS Withdrawal 395709755498 REVIO  *XMission       801-5390852  UTUS,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/27/21,27,8,2021,($76.28),PoS Withdrawal 393672100790633 PP*MK CNSLT- Cassie Joh385-2528411  UTUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/26/21,26,8,2021,($58.10),ACH Withdrawal EMI HEALTH  - INS PREM,Dental & Vision Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/26/21,26,8,2021,($32.34),PoS Withdrawal  AMAZON.COM             SEATTLE      WAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/26/21,26,8,2021,($28.95),PoS Withdrawal TARGET T-1755 815 W 2000 N           Layton       UTUS,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/26/21,26,8,2021,($30.00),PoS Withdrawal 634820901771485 UTAH INFRASTRUCTURE AG 801-613-3880 UTUS,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/21,25,8,2021,"$1,238.25 ",ACH Deposit UTAH INDEPENDENT  - PAYROLL,Paycheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/21,24,8,2021,($174.66),ACH Withdrawal PROG DIRECT INS BRANCH05DEBIT  ACH - INS PREM,Auto Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/21,23,8,2021,($0.99),PoS Withdrawal 337190000108778 APPLE.COM/BILL         866-712-7753 CAUS,Subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/21,23,8,2021,$104.00 ,ATM Deposit DESERET FIRST CU 3225 WEST 4700 SOUTH   TAYLORSVILLE UTUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/21,23,8,2021,$53.19 ,Credit  VENMO*Potter Braden    New York CityNYUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/21,23,8,2021,$50.00 ,Deposit Transfer From 854597,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/21,23,8,2021,$0.50 ,Deposit Transfer From 854597,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/21,23,8,2021,$30.00 ,Deposit Transfer From 854597,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/21,23,8,2021,($47.59),PoS Withdrawal HARMONS - WEST FUEL 3955 W. 3500 SOUTH     WEST VALLEY  UTUS,Gas & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/21,23,8,2021,($33.51),PoS Withdrawal 4445026666669 FIVE GUYS UT 1749 QSR  SALT LAKE CITUTUS,Fast Food,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/21/21,21,8,2021,($169.44),PoS Withdrawal SMITHS FOOD #413 4643 S. 4000 WEST      WEST VALLEY CUTUS,Groceries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
8/20/21,20,8,2021,($3.43),PoS Withdrawal 596037501524073 CHEVRON 0203453        WEST VALLEY CUTUS,Soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/21,18,8,2021,($12.01),PoS Withdrawal  MK PCP                 800-2729333  TXUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/21,18,8,2021,($9.61),PoS Withdrawal 596037501524073 CHEVRON 0203453        WEST VALLEY CUTUS,Soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/21,17,8,2021,($100.00),ACH Withdrawal LINCOLN HERITAGE 800-930-7459 - INS PREM,Kathy’s Life Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/21,17,8,2021,($132.00),ACH Withdrawal CAPITAL ONE  - MOBILE PMT,Capital One - Cassie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/21,17,8,2021,($388.98),ACH Withdrawal THD Loan Svcs 8669360602 - WEB PAY,Home Depot Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/21,17,8,2021,($0.99),PoS Withdrawal 337190000108778 APPLE.COM/BILL         866-712-7753 CAUS,Subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/21,16,8,2021,($104.85),Withdrawal Transfer To 756132339,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/21,16,8,2021,($315.18),Withdrawal Potter Pmt from 756487685 CK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/21,16,8,2021,($14.00),PoS Withdrawal 174101920992 PAYPAL *UDEMY          402-935-7733 CAUS,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/21,16,8,2021,$210.00 ,ACH Deposit VENMO  - CASHOUT,Piano Lessons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/21,16,8,2021,($16.08),PoS Withdrawal  AMAZON.COM             SEATTLE      WAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/21,16,8,2021,($6.52),PoS Withdrawal 596037501524073 CHEVRON 0203453        WEST VALLEY CUTUS,Soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/21,16,8,2021,$50.00 ,ATM Deposit DESERET FIRST CU 3225 WEST 4700 SOUTH   TAYLORSVILLE UTUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/21,16,8,2021,$104.00 ,ATM Deposit DESERET FIRST CU 3225 WEST 4700 SOUTH   TAYLORSVILLE UTUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/21,16,8,2021,$95.00 ,ATM Deposit DESERET FIRST CU 3225 WEST 4700 SOUTH   TAYLORSVILLE UTUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/21,16,8,2021,$200.00 ,ATM Deposit DESERET FIRST CU 3225 WEST 4700 SOUTH   TAYLORSVILLE UTUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/21,16,8,2021,($11.74),PoS Withdrawal 178006112993 IKEA DRAPER            DRAPER       UTUS,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/21,14,8,2021,($58.78),PoS Withdrawal MAVERIK #561 13551 SOUTH 200 WEST   DRAPER       UTUS,Gas & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/21,14,8,2021,($12.11),PoS Withdrawal 3844623348ICK1 CHICK-FIL-A #03348     TAYLORSVILLE UTUS,Fast Food,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/14/21,14,8,2021,($7.57),PoS Withdrawal 4445000679803 LITTLE CAESARS 011     801-965-1400 UTUS,Fast Food,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/13/21,13,8,2021,($6.52),PoS Withdrawal 596037501524073 CHEVRON 0203453        WEST VALLEY CUTUS,Gas & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/21,13,8,2021,($162.00),ACH Withdrawal KOHL'S TELECHK 800-697-9263 - CHG PYMT,Kohl's Credit Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/21,13,8,2021,($53.89),PoS Withdrawal 227150307998 WW NORTON              212-354-5500 NYUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/21,12,8,2021,$250.00 ,ACH Deposit IRS  TREAS 310  -   CHILDCTC,Child Tax Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/21,12,8,2021,($200.00),ATM Withdrawal AMERICA FIRST CREDIT UNIO 425 W Heritage Par     Layton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/21,12,8,2021,($3.21),PoS Withdrawal TARGET T-1755 815 W 2000 N           Layton       UTUS,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/21,12,8,2021,($20.33),PoS Withdrawal 737642011883 WENDYS  6062           LAYTON       UTUS,Fast Food,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/12/21,12,8,2021,($135.41),ACH Withdrawal FinWise Bank  - FinWise Ba,Grand Piano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/21,12,8,2021,($326.27),PoS Withdrawal 395708457148 MK Cosmetic            800-2729333  TXUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/21,12,8,2021,($4.87),PoS Withdrawal 3844623348ICK1 CHICK-FIL-A #03348     TAYLORSVILLE UTUS,Fast Food,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/12/21,12,8,2021,($3.43),PoS Withdrawal 596037501524073 CHEVRON 0203453        WEST VALLEY CUTUS,Soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/21,11,8,2021,($9.35),PoS Withdrawal 737642011883 WENDYS  6062           LAYTON       UTUS,Fast Food,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/11/21,11,8,2021,($27.66),ACH Withdrawal NORTHWESTERN MU  - PAYMNT WEB,Life Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
8/10/21,10,8,2021,"$1,308.70 ",ACH Deposit UTAH INDEPENDENT  - PAYROLL,Paycheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/21,10,8,2021,$200.00 ,ACH Deposit VENMO  - CASHOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/21,10,8,2021,($24.13),PoS Withdrawal 345072499881 CHIPOTLE ONLINE        CHIPOTLE.COM CAUS,Fast Food,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/9/21,9,8,2021,($15.31),PoS Withdrawal 984235548885 RANCHERITOS            SALT LAKE CITUTUS,Fast Food,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/9/21,9,8,2021,($10.61),PoS Withdrawal HARMONS - TAYLORSVILLE 5454 S. REDWOOD ROAD   TAYLORSVILLE U,Groceries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
8/9/21,9,8,2021,($3.43),PoS Withdrawal 4400072579134 7-ELEVEN               TAYLORSVILLE UTUS,Soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/21,6,8,2021,($880.24),Check #203,Mortgage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/21,6,8,2021,($25.00),ACH Withdrawal CAPITAL ONE  - CRCARDPMT,Capital One - Braden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/21,6,8,2021,($9.74),PoS Withdrawal 3844623348ICK1 CHICK-FIL-A #03348     TAYLORSVILLE UTUS,Fast Food,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/5/21,5,8,2021,($30.00),Withdrawal Transfer To 854597,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/21,5,8,2021,($58.50),PoS Withdrawal 48206279993 SAMSCLUB.COM           888-746-7726 ARUS,Groceries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
8/4/21,4,8,2021,($3.09),PoS Withdrawal 596037501524073 CHEVRON 0203453        WEST VALLEY CUTUS,Soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/21,4,8,2021,($293.00),PoS Withdrawal 328059940994 AT&T*BILL PAYMENT      214-721-3650 TXUS,Cell Phones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/21,4,8,2021,($35.00),PoS Withdrawal 174030076999 PAYPAL *UTAHEDUC       435-797-8181 UTUS,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/21,4,8,2021,($35.00),PoS Withdrawal 174030076999 PAYPAL *UTAHEDUC       435-797-8181 UTUS,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/21,3,8,2021,($13.29),PoS Withdrawal  AMAZON.COM             SEATTLE      WAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/21,2,8,2021,($85.23),PoS Withdrawal 7682300730013 WINCO FOODS # 73 7020 SMidvale      UTUS,Groceries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
8/2/21,2,8,2021,($37.35),PoS Withdrawal 596277101524073 CHEVRON 0301414        TREMONTON    UTUS,Gas & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/21,2,8,2021,($47.81),PoS Withdrawal 596458101524073 CHEVRON 0208859        MERIDIAN     IDUS,Gas & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/21,31,7,2021,$199.00 ,Deposit Transfer From 854597,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/21,31,7,2021,$50.00 ,Descriptive Deposit Remote Deposit Capture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/21,30,7,2021,$136.00 ,ACH Deposit VENMO  - CASHOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/21,28,7,2021,($4.55),PoS Withdrawal 330593623888 SHELL OIL 57444636401  EAGLE        IDUS,Soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/21,26,7,2021,($22.85),PoS Withdrawal 6867134816MDF1 MCDONALD'S F14816      JEROME       IDUS,Fast Food,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7/26/21,26,7,2021,($47.66),PoS Withdrawal 898526 SHELL SERVICE STATION  EAGLE        IDUS,Gas & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/21,26,7,2021,($6.28),PoS Withdrawal 7682301670012 WINCO FOODS #167 1407 WMeridian     IDUS,Soda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
7/26/21,26,7,2021,($0.99),PoS Withdrawal 112137000108778 APPLE.COM/BILL         866-712-7753 CAUS,Subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/21,23,7,2021,($38.82),PoS Withdrawal  AMAZON.COM             SEATTLE      WAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/21,23,7,2021,"$1,057.98 ",ACH Deposit UTAH INDEPENDENT  - PAYROLL,Paycheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/21,22,7,2021,($58.10),ACH Withdrawal EMI HEALTH  - INS PREM,Dental & Vision Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/21,22,7,2021,($174.66),ACH Withdrawal PROG DIRECT INS BRANCH05DEBIT  ACH - INS PREM,Auto Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/21,22,7,2021,($19.17),PoS Withdrawal 3957000283 DNH*GODADDY.COM        480-5058855  AZUS,Website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/21,21,7,2021,($81.25),PoS Withdrawal 330077000219591 WALMART GROCERY        800-966-6546 ARUS,Groceries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
7/21/21,21,7,2021,($8.94),PoS Withdrawal 4445900002736 WALMART GROCERY        800-966-6546 ARUS,Groceries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
7/20/21,20,7,2021,($61.53),PoS Withdrawal MAVERIK #524 7360 S UNION PARK AVENUMIDVALE      UTUS,Gas & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/21,19,7,2021,($14.05),ACH Withdrawal QuestarGas  - QuestarGas,Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
7/19/21,19,7,2021,($67.86),ACH Withdrawal ROCKYMTN/PACIFIC  - POWER BILL,Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7/19/21,19,7,2021,($53.79),PoS Withdrawal 8788242905155 GRANGER HUNTER IMPROVE 801-9683551  UTUS,Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
7/19/21,19,7,2021,($14.18),PoS Withdrawal 4445100121244 WALGREENS #12124       EAGLE        IDUS,Groceries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
7/19/21,19,7,2021,($9.89),PoS Withdrawal 4445026666529 FIVE GUYS ID 1002 QSR  MERIDIAN     IDUS,Fast Food,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7/17/21,17,7,2021,($0.99),PoS Withdrawal 337190000108778 APPLE.COM/BILL         866-712-7753 CAUS,Subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
